Name,scenario-beta-same-Expected Spread,scenario-beta-same-Faster Spread,scenario-beta-same-Slower Spread,scenario-beta-lifted-Expected Spread,scenario-beta-lifted-Faster Spread,scenario-beta-lifted-Slower Spread,scenario-beta-tight-Expected Spread,scenario-beta-tight-Faster Spread,scenario-beta-tight-Slower Spread
Afghanistan,0.3802565313,0.4380187376,0.3224943249,0.4802565313,0.5380187376,0.4224943249,0.5802565313,0.6380187376,0.5224943249
Angola,0.5,#N/A,#N/A,0.6,#N/A,#N/A,0.7,#N/A,#N/A
Albania,0.5779043457,0.6541048123,0.45,0.6779043457,0.7541048123,0.55,0.7779043457,0.8541048123,0.65
United Arab Emirates,0.4992389352,0.5662466811,0.4322311893,0.5992389352,0.6662466811,0.5322311893,0.6992389352,0.7662466811,0.6322311893
Argentina,0.6152140954,0.6533858742,0.5770423166,0.7152140954,0.7533858742,0.6770423166,0.8152140954,0.8533858742,0.7770423166
Armenia,0.5243115876,0.5687244447,0.4798987306,0.6243115876,0.6687244447,0.5798987306,0.7243115876,0.7687244447,0.6798987306
Australia,0.8688603516,0.9805954034,0.45,0.9688603516,1.080595403,0.55,1.068860352,1.180595403,0.65
Austria,0.6504255494,0.7540652698,0.45,0.7504255494,0.8540652698,0.55,0.8504255494,0.9540652698,0.65
Azerbaijan,0.5767723845,0.625061316,0.45,0.6767723845,0.725061316,0.55,0.7767723845,0.825061316,0.65
Belgium,0.4740850899,0.5563600383,0.3918101415,0.5740850899,0.6563600383,0.4918101415,0.6740850899,0.7563600383,0.5918101415
Benin,0.519818159,0.7214887418,0.3181475762,0.619818159,0.8214887418,0.4181475762,0.719818159,0.9214887418,0.5181475762
Burkina Faso,0.7936613815,0.9876625607,0.5996602024,0.8936613815,1.087662561,0.6996602024,0.9936613815,1.187662561,0.7996602024
Bangladesh,0.5221127157,0.5497013993,0.45,0.6221127157,0.6497013993,0.55,0.7221127157,0.7497013993,0.65
Bulgaria,0.607542797,0.6585184887,0.5,0.707542797,0.7585184887,0.6,0.807542797,0.8585184887,0.7
Bahrain,0.5107071162,0.5539235244,0.467490708,0.6107071162,0.6539235244,0.567490708,0.7107071162,0.7539235244,0.667490708
Bosnia and Herzegovina,0.6967273696,0.769227378,0.6242273613,0.7967273696,0.869227378,0.7242273613,0.8967273696,0.969227378,0.8242273613
Belarus,0.3832407058,0.4376589587,0.3288224528,0.4832407058,0.5376589587,0.4288224528,0.5832407058,0.6376589587,0.5288224528
Bolivia,0.5671210482,0.604314424,0.5299276724,0.6671210482,0.704314424,0.6299276724,0.7671210482,0.804314424,0.7299276724
Brazil,0.5549164128,0.561904375,0.5479284506,0.6549164128,0.661904375,0.6479284506,0.7549164128,0.761904375,0.7479284506
Central African Republic,0.4973245996,0.5882417973,0.406407402,0.5973245996,0.6882417973,0.506407402,0.6973245996,0.7882417973,0.606407402
Canada,0.5278233987,0.5660836667,0.4895631306,0.6278233987,0.6660836667,0.5895631306,0.7278233987,0.7660836667,0.6895631306
Switzerland,0.7242697624,0.8310289749,0.6175105499,0.8242697624,0.9310289749,0.7175105499,0.9242697624,1.031028975,0.8175105499
Chile,0.4049085694,0.4742439594,0.3355731795,0.5049085694,0.5742439594,0.4355731795,0.6049085694,0.6742439594,0.5355731795
China,0.4749123554,0.6137799396,0.3360447712,0.5749123554,0.7137799396,0.4360447712,0.6749123554,0.8137799396,0.5360447712
Cote d'Ivoire,0.5021649816,0.578267028,0.4260629353,0.6021649816,0.678267028,0.5260629353,0.7021649816,0.778267028,0.6260629353
Cameroon,0.3976554532,0.572644672,0.2226662344,0.4976554532,0.672644672,0.3226662344,0.5976554532,0.772644672,0.4226662344
Democratic Republic of the Congo,0.4836867491,0.5841504048,0.3832230934,0.5836867491,0.6841504048,0.4832230934,0.6836867491,0.7841504048,0.5832230934
Republic of the Congo,0.6425183222,0.8682583489,0.4167782956,0.7425183222,0.9682583489,0.5167782956,0.8425183222,1.068258349,0.6167782956
Colombia,0.6022821835,0.6540689903,0.5504953766,0.7022821835,0.7540689903,0.6504953766,0.8022821835,0.8540689903,0.7504953766
Cape Verde,0.5837307068,0.6847055564,0.4827558571,0.6837307068,0.7847055564,0.5827558571,0.7837307068,0.8847055564,0.6827558571
