code,est_active,pop,name,risk
IND,906,1359772000,India,0.000000666288172
IRN,2016953,78800000,"Iran, Islamic Republic of",0.025595850253807
EGY,1758,97550000,Egypt,0.000018021527422
IDN,1191,261115000,Indonesia,0.000004561208663
SGP,870,5607000,Singapore,0.000155163188871
KOR,21471,51246000,"Korea, Republic of",0.000418979042267
JPN,4899,126995000,Japan,0.000038576321902
RUS,4182,146745000,Russian Federation,0.000028498415619
CHE,50854,8372000,Switzerland,0.006074295269947
GBR,187043,66440000,United Kingdom,0.002815216736905
CZE,2967,10562000,Czechia,0.000280912705927
FRA,365348,66896000,France,0.005461432671610
DEU,65688,82668000,Germany,0.000794600087095
ITA,809218,60601000,Italy,0.013353211993201
NLD,10479,17018000,Netherlands,0.000615759783758
ESP,701270,46444000,Spain,0.015099259323056
USA,76645,328239000,United States,0.000233503636070
AUS,3114,25352000,Australia,0.000122830545914
