Name,Country,Date Start,Date end intended,Implementing State/Province,Implementing City,Description of measure implemented,Keywords,Exceptions,Applies To,Target country,Target region,Tests per day,Tests conducted to date,Contacts traced to date,Column 1,Source,Target state,Target city
to contain,,,,,,,,,,,,,,,,,,
Taiwan,Taiwan,"Dec 30, 2019",,,,Tightened inbound traveller screening,international traveller screening,,,China,,,,,,"https://www.bmj.com/content/368/bmj.m56, https://promedmail.org/promed-post/?id=6866757",,
Hong Kong,Hong Kong,"Dec 30, 2020",,,,Hong Kong Secretary for Food and Health announced that suspected cases presenting with symptoms of pneumonia acute respiratory illness fever and a recent travel to Wuhan within the last 14 days would be put in isolation,"14 days, compulsory isolation, international traveller screening, targeted isolation",,,China,,,,,,"https://www.bmj.com/content/368/bmj.m56, https://promedmail.org/promed-post/?id=6866758, https://www.scmp.com/news/china/politics/article/3044050/mystery-illness-hits-chinas-wuhan-city-nearly-30-hospitalised",,
Macau,Macau,"Dec 30, 2021",,,,Tightened inbound traveller screening,international traveller screening,,,China,,,,,,"https://www.bmj.com/content/368/bmj.m56, https://promedmail.org/promed-post/?id=6866759",,
China,China,"Dec 18, 2019",,Hubei,Wuhan,Seven cases of COVID-19 documented in Wuhan,testing commenced,,,,,,,,,https://www.nejm.org/doi/10.1056/NEJMoa2001316,,
,,,,,,,,,,,,,,,,,,
China,China,"Dec 25, 2019",,Hubei,Wuhan,Medical staff in two Wuhan hospitals were suspected of contracting the virus; first reports of isolation being used,"compulsory isolation, targeted isolation",,,,,,,,,https://mp.weixin.qq.com/s/IzzCnz4Yr2jEIYZePiu_ow,,
China,China,"Dec 30, 2019",,Hubei,Wuhan,Wuhan CDC confirmed 27 cases of viral pneumonia of unknown cause; all hospitals required to report all cases of unkown origin and related to Huanan Seafood Market and give patients proper treatment;,"case reporting, source tracing",,,,,,,,,https://www.bbc.com/zhongwen/simp/chinese-news-51382117; http://www.bjnews.com.cn/news/2019/12/31/668430.html,,
China,China,"Jan 01, 2020",,Hubei,Wuhan,Huanan Seafood Market closed by Jianghan District's Health Agency and Administration for Market Regulation for 'environment improvement'; workers in hazmat suits inspected market and collected samples,source tracing,,,,,,,,,https://finance.sina.com.cn/china/gncj/2020-01-01/doc-iihnzhfz9652655.shtml,,
China,China,"Jan 03, 2020",,Hubei,Wuhan,"Research on virus commenced; 44 cases reported, 120 close contacts started being monitored ","research, source tracing",,,,,,,,,https://www.statnews.com/2020/01/04/mystery-pneumonia-outbreak-china/,,
"Singapore ",Singapore,"Jan 04, 2020",,,Singapore,"First suspected case in Singapore reported, later found to be unrelated",testing commenced,,,,,,,,,https://web.archive.org/web/20200115062654/https://www.straitstimes.com/singapore/health/wuhan-pneumonia-first-suspect-case-identified-here; https://www.moh.gov.sg/news-highlights/details/update-on-local-situation-regarding-severe-pneumonia-cluster-in-wuhan-5-jan,,
"United States ",United States,"Jan 07, 2020",,,Washington DC,"United States CDC issues travel warning to for travellers to Wuhan for cluster of pneumonia cases of unknown etiology ","international traveller screening, travel warning",,,,,,,,,https://www.kff.org/news-summary/chinese-health-authorities-work-to-discover-cause-of-viral-pneumonia-outbreak-cdc-issues-travel-notice-for-wuhan/,,
