"City","Timestep","Cumulative Median_0","Cumulative Median_1","Cumulative Median_2","Cumulative Median_3"
"Abuja","0","0.0","10.0","20.0","30.0"
"Abuja","1","0.0","10.0","20.0","30.0"
"Abuja","2","0.0","10.0","20.0","30.0"
"Abuja","3","0.0","10.0","20.0","30.0"
"Abuja","4","0.0","10.0","20.0","30.0"
"Abuja","5","0.0","10.0","20.0","30.0"
"Abuja","6","0.0","10.0","20.0","30.0"
"Abuja","7","0.0","10.0","20.0","30.0"
"Abuja","8","0.0","10.0","20.0","30.0"
"Abuja","9","0.0","10.0","20.0","30.0"
"Abuja","10","0.0","10.0","20.0","30.0"
"Abuja","11","0.0","10.0","20.0","30.0"
"Abuja","12","0.0","10.0","20.0","30.0"
"Abuja","13","0.0","10.0","20.0","30.0"
"Abuja","14","0.0","10.0","20.0","30.0"
"Abuja","15","0.0","10.0","20.0","30.0"
"Abuja","16","0.0","10.0","20.0","30.0"
"Abuja","17","0.0","10.0","20.0","30.0"
"Abuja","18","0.0","10.0","20.0","30.0"
"Abuja","19","0.0","10.0","20.0","30.0"
"Abuja","20","0.0","10.0","20.0","30.0"
"Abuja","21","0.0","10.0","20.0","30.0"
"Abuja","22","0.0","10.0","20.0","30.0"
"Abuja","23","0.0","10.0","20.0","30.0"
"Abuja","24","0.0","10.0","20.0","30.0"
"Abuja","25","0.0","10.0","20.0","30.0"
"Abuja","26","0.0","10.0","20.0","30.0"
"Abuja","27","0.0","10.0","20.0","30.0"
"Abuja","28","0.0","10.0","20.0","30.0"
"Abuja","29","0.0","10.0","20.0","30.0"
"Abuja","30","0.0","10.0","20.0","30.0"
"Abuja","31","0.0","10.0","20.0","30.0"
"Abuja","32","0.0","10.0","20.0","30.0"
"Abuja","33","0.0","10.0","20.0","30.0"
"Abuja","34","0.0","10.0","20.0","30.0"
"Abuja","35","0.0","10.0","20.0","30.0"
"Abuja","36","0.0","10.0","20.0","30.0"
"Abuja","37","0.0","10.0","20.0","30.0"
"Abuja","38","0.0","10.0","20.0","30.0"
"Abuja","39","0.0","10.0","20.0","30.0"
"Abuja","40","0.0","10.0","20.0","30.0"
"Abuja","41","0.0","10.0","20.0","30.0"
"Abuja","42","0.0","10.0","20.0","30.0"
"Abuja","43","0.0","10.0","20.0","30.0"
"Abuja","44","0.0","10.0","20.0","30.0"
"Abuja","45","0.0","10.0","20.0","30.0"
"Abuja","46","0.0","10.0","20.0","30.0"
"Abuja","47","0.0","10.0","20.0","30.0"
"Abuja","48","0.0","10.0","20.0","30.0"
"Abuja","49","0.0","10.0","20.0","30.0"
"Abuja","50","0.0","10.0","20.0","30.0"
"Abuja","51","0.0","10.0","20.0","30.0"
"Abuja","52","0.0","10.0","20.0","30.0"
"Abuja","53","0.0","10.0","20.0","30.0"
"Abuja","54","0.0","10.0","20.0","30.0"
"Abuja","55","0.0","10.0","20.0","30.0"
"Abuja","56","0.0","10.0","20.0","30.0"
"Abuja","57","0.0","10.0","20.0","30.0"
"Abuja","58","0.0","10.0","20.0","30.0"
"Abuja","59","0.0","10.0","20.0","30.0"
"Abuja","60","0.0","10.0","20.0","30.0"
"Abuja","61","0.0","10.0","20.0","30.0"
"Abuja","62","0.0","10.0","20.0","30.0"
"Abuja","63","0.0","10.0","20.0","30.0"
"Abuja","64","0.0","10.0","20.0","30.0"
"Abuja","65","0.0","10.0","20.0","30.0"
"Abuja","66","0.0","10.0","20.0","30.0"
"Abuja","67","0.0","10.0","20.0","30.0"
"Abuja","68","0.0","10.0","20.0","30.0"
"Abuja","69","0.0","10.0","20.0","30.0"
"Abuja","70","0.0","10.0","20.0","30.0"
"Abuja","71","0.0","10.0","20.0","30.0"
"Abuja","72","0.0","10.0","20.0","30.0"
"Abuja","73","0.0","10.0","20.0","30.0"
"Abuja","74","0.0","10.0","20.0","30.0"
"Abuja","75","0.0","10.0","20.0","30.0"
"Abuja","76","0.0","10.0","20.0","30.0"
"Abuja","77","0.0","10.0","20.0","30.0"
"Abuja","78","0.0","10.0","20.0","30.0"
"Abuja","79","0.0","10.0","20.0","30.0"
"Abuja","80","0.0","10.0","20.0","30.0"
"Abuja","81","0.0","10.0","20.0","30.0"
"Abuja","82","0.0","10.0","20.0","30.0"
"Abuja","83","0.0","10.0","20.0","30.0"
"Abuja","84","0.0","10.0","20.0","30.0"
"Abuja","85","0.0","10.0","20.0","30.0"
"Abuja","86","0.0","10.0","20.0","30.0"
"Abuja","87","0.0","10.0","20.0","30.0"
"Abuja","88","0.0","10.0","20.0","30.0"
"Abuja","89","0.0","10.0","20.0","30.0"
"Abuja","90","0.0","10.0","20.0","30.0"
"Abuja","91","0.0","10.0","20.0","30.0"
"Abuja","92","0.0","10.0","20.0","30.0"
"Abuja","93","0.0","10.0","20.0","30.0"
"Abuja","94","0.0","10.0","20.0","30.0"
"Abuja","95","0.0","10.0","20.0","30.0"
"Abuja","96","0.0","10.0","20.0","30.0"
"Abuja","97","0.0","10.0","20.0","30.0"
"Abuja","98","0.0","10.0","20.0","30.0"
"Abuja","99","0.0","10.0","20.0","30.0"
"Abuja","100","0.0","10.0","20.0","30.0"
"Abuja","101","0.0","10.0","20.0","30.0"
"Abuja","102","0.0","10.0","20.0","30.0"
"Abuja","103","0.0","10.0","20.0","30.0"
"Abuja","104","0.0","10.0","20.0","30.0"
"Abuja","105","0.0","10.0","20.0","30.0"
"Abuja","106","0.0","10.0","20.0","30.0"
"Abuja","107","0.0","10.0","20.0","30.0"
"Abuja","108","0.0","10.0","20.0","30.0"
"Abuja","109","0.0","10.0","20.0","30.0"
"Abuja","110","0.0","10.0","20.0","30.0"
"Abuja","111","0.0","10.0","20.0","30.0"
"Abuja","112","0.0","10.0","20.0","30.0"
"Abuja","113","0.0","10.0","20.0","30.0"
"Abuja","114","0.0","10.0","20.0","30.0"
"Abuja","115","0.0","10.0","20.0","30.0"
"Abuja","116","0.0","10.0","20.0","30.0"
"Abuja","117","0.0","10.0","20.0","30.0"
"Abuja","118","0.0","10.0","20.0","30.0"
"Abuja","119","0.0","10.0","20.0","30.0"
"Abuja","120","0.0","10.0","20.0","30.0"
"Abuja","121","0.0","10.0","20.0","30.0"
"Abuja","122","0.0","10.0","20.0","30.0"
"Abuja","123","0.0","10.0","20.0","30.0"
"Abuja","124","0.0","10.0","20.0","30.0"
"Abuja","125","0.0","10.0","20.0","30.0"
"Abuja","126","0.0","10.0","20.0","30.0"
"Abuja","127","0.0","10.0","20.0","30.0"
"Abuja","128","0.0","10.0","20.0","30.0"
"Abuja","129","0.0","10.0","20.0","30.0"
"Abuja","130","0.0","10.0","20.0","30.0"
"Abuja","131","0.0","10.0","20.0","30.0"
"Abuja","132","0.0","10.0","20.0","30.0"
"Abuja","133","0.0","10.0","20.0","30.0"
"Abuja","134","0.0","10.0","20.0","30.0"
"Abuja","135","0.0","10.0","20.0","30.0"
"Abuja","136","0.0","10.0","20.0","30.0"
"Abuja","137","0.0","10.0","20.0","30.0"
"Abuja","138","0.0","10.0","20.0","30.0"
"Abuja","139","0.0","10.0","20.0","30.0"
"Abuja","140","0.0","10.0","20.0","30.0"
"Abuja","141","0.0","10.0","20.0","30.0"
"Abuja","142","0.0","10.0","20.0","30.0"
"Abuja","143","9.6e-05","10.000096","20.000095","30.000095"
"Abuja","144","0.000288","10.000288","20.000288","30.000288"
"Abuja","145","0.000383","10.000383","20.000383","30.000383"
"Abuja","146","0.000383","10.000383","20.000383","30.000383"
"Abuja","147","0.000479","10.000479","20.000479","30.000479"
"Abuja","148","0.000479","10.000479","20.000479","30.000479"
"Abuja","149","0.000671","10.000671","20.000671","30.000671"
"Abuja","150","0.000863","10.000863","20.000862","30.000862"
"Abuja","151","0.001342","10.001342","20.001343","30.001343"
"Abuja","152","0.001726","10.001726","20.001726","30.001726"
"Abuja","153","0.001917","10.001917","20.001917","30.001917"
"Abuja","154","0.002397","10.002397","20.002398","30.002398"
"Abuja","155","0.002972","10.002972","20.002972","30.002972"
"Abuja","156","0.003355","10.003355","20.003355","30.003355"
"Abuja","157","0.004889","10.004889","20.004889","30.004889"
"Abuja","158","0.005273","10.005273","20.005274","30.005274"
"Abuja","159","0.00604","10.00604","20.00604","30.00604"
"Abuja","160","0.006806","10.006806","20.006805","30.006805"
"Abuja","161","0.008244","10.008244","20.008244","30.008244"
"Abuja","162","0.010353","10.010353","20.010353","30.010353"
"Abuja","163","0.011887","10.011887","20.011887","30.011887"
"Abuja","164","0.013709","10.013709","20.013708","30.013708"
"Abuja","165","0.015818","10.015818","20.015818","30.015818"
"Abuja","166","0.018023","10.018023","20.018023","30.018023"
"Abuja","167","0.020323","10.020323","20.020323","30.020323"
"Abuja","168","0.025021","10.025021","20.02502","30.02502"
"Abuja","169","0.028376","10.028376","20.028376","30.028376"
"Abuja","170","0.032978","10.032978","20.032978","30.032978"
"Abuja","171","0.039497","10.039497","20.039497","30.039497"
"Abuja","172","0.045153","10.045153","20.045153","30.045153"
"Abuja","173","0.053109","10.053109","20.053108","30.053108"
"Abuja","174","0.061354","10.061354","20.061354","30.061354"
"Abuja","175","0.070174","10.070174","20.070173","30.070173"
"Abuja","176","0.079952","10.079952","20.079952","30.079952"
"Abuja","177","0.090593","10.090593","20.090593","30.090593"
"Abuja","178","0.103822","10.103822","20.103823","30.103823"
"Abuja","179","0.119832","10.119832","20.119831","30.119831"
"Abuja","180","0.136321","10.136321","20.13632","30.13632"
"Abuja","181","0.155302","10.155302","20.155302","30.155302"
"Abuja","182","0.177064","10.177064","20.177065","30.177065"
"Abuja","183","0.198729","10.198729","20.198729","30.198729"
"Abuja","184","0.223942","10.223942","20.223942","30.223942"
"Abuja","185","0.253948","10.253948","20.253948","30.253948"
"Abuja","186","0.29076","10.29076","20.29076","30.29076"
"Abuja","187","0.330353","10.330353","20.330353","30.330353"
"Abuja","188","0.374163","10.374163","20.374163","30.374163"
"Abuja","189","0.426218","10.426218","20.426218","30.426218"
"Abuja","190","0.476547","10.476547","20.476547","30.476547"
"Abuja","191","0.543174","10.543174","20.543175","30.543175"
"Abuja","192","0.617949","10.617949","20.617949","30.617949"
"Abuja","193","0.701831","10.701831","20.701832","30.701832"
"Abuja","194","0.797218","10.797218","20.797218","30.797218"
"Abuja","195","0.902957","10.902957","20.902958","30.902958"
"Abuja","196","1.023173","11.023173","21.023172","31.023172"
"Abuja","197","1.157768","11.157768","21.157768","31.157768"
"Abuja","198","1.313262","11.313262","21.313263","31.313263"
"Abuja","199","1.486778","11.486778","21.486778","31.486778"
"Abuja","200","1.686754","11.686754","21.686754","31.686754"
"Abuja","201","1.902547","11.902547","21.902548","31.902548"
"Abuja","202","2.155344","12.155344","22.155344","32.155342"
"Abuja","203","2.44064","12.4406395","22.44064","32.44064"
"Abuja","204","2.75575","12.75575","22.75575","32.75575"
"Abuja","205","3.115054","13.115054","23.115053","33.115055"
"Abuja","206","3.521332","13.521332","23.521332","33.52133"
"Abuja","207","3.97075","13.97075","23.97075","33.97075"
"Abuja","208","4.480466","14.480466","24.480465","34.480465"
"Abuja","209","5.055851","15.055851","25.055851","35.05585"
"Abuja","210","5.684824","15.684824","25.684824","35.684822"
"Abuja","211","6.419155","16.419155","26.419155","36.419155"
"Abuja","212","7.237463","17.237463","27.237463","37.237465"
"Abuja","213","8.182792","18.182793","28.182793","38.182793"
"Abuja","214","9.211718","19.211718","29.211718","39.211716"
"Abuja","215","10.368048","20.368048","30.368048","40.36805"
"Abuja","216","11.658205","21.658205","31.658205","41.658203"
"Abuja","217","13.130795","23.130795","33.130795","43.130795"
"Abuja","218","14.793582","24.793583","34.793583","44.793583"
"Abuja","219","16.636309","26.636309","36.636307","46.636307"
"Abuja","220","18.704609","28.704609","38.70461","48.70461"
"Abuja","221","21.026087","31.026087","41.026085","51.026085"
"Abuja","222","23.663347","33.663345","43.663345","53.663345"
"Abuja","223","26.562225","36.562225","46.562225","56.562225"
"Abuja","224","29.851946","39.851944","49.851944","59.851944"
"Abuja","225","33.529057","43.529057","53.529057","63.529057"
"Abuja","226","37.66","47.66","57.66","67.66"
"Abuja","227","42.22368","52.22368","62.22368","72.22368"
"Abuja","228","47.336857","57.336857","67.33685","77.33685"
"Abuja","229","53.01976","63.01976","73.01976","83.01976"
"Abuja","230","59.379383","69.37938","79.37938","89.37938"
"Abuja","231","66.44688","76.44688","86.44688","96.44688"
"Abuja","232","74.19128","84.19128","94.19128","104.19128"
"Abuja","233","82.786766","92.786766","102.786766","112.786766"
"Abuja","234","92.235176","102.235176","112.235176","122.235176"
"Abuja","235","102.64944","112.64944","122.64944","132.64944"
"Abuja","236","114.085236","124.085236","134.08524","144.08524"
"Abuja","237","126.621086","136.6211","146.6211","156.6211"
"Abuja","238","140.31067","150.31067","160.31067","170.31067"
"Abuja","239","155.17184","165.17184","175.17184","185.17184"
"Abuja","240","171.25568","181.25568","191.25568","201.25568"
"Abuja","241","188.6966","198.6966","208.6966","218.6966"
"Abuja","242","207.38327","217.38327","227.38327","237.38327"
"Abuja","243","227.2004","237.2004","247.2004","257.20038"
"Abuja","244","248.32246","258.32245","268.32245","278.32245"
"Abuja","245","270.64645","280.64645","290.64645","300.64645"
"Abuja","246","294.02393","304.02393","314.02393","324.02393"
"Abuja","247","318.39258","328.39258","338.39258","348.39258"
"Abuja","248","343.54758","353.54758","363.54758","373.54758"
"Abuja","249","369.4192","379.4192","389.4192","399.4192"
"Abuja","250","395.8353","405.8353","415.8353","425.8353"
"Abuja","251","422.6223","432.6223","442.6223","452.6223"
"Abuja","252","449.45645","459.45645","469.45645","479.45645"
"Abuja","253","476.25018","486.25018","496.25018","506.25018"
"Abuja","254","502.82718","512.82715","522.82715","532.82715"
"Abuja","255","528.93176","538.93176","548.93176","558.93176"
"Abuja","256","554.227","564.227","574.227","584.227"
"Abuja","257","578.79004","588.79004","598.79004","608.79004"
"Abuja","258","602.14355","612.14355","622.14355","632.14355"
"Abuja","259","624.4632","634.4632","644.4632","654.4632"
"Abuja","260","645.4318","655.4318","665.4318","675.4318"
"Abuja","261","665.22577","675.22577","685.22577","695.22577"
"Abuja","262","683.67206","693.67206","703.67206","713.67206"
"Abuja","263","700.8517","710.8517","720.8517","730.8517"
"Abuja","264","716.6659","726.6659","736.6659","746.6659"
"Abuja","265","731.2472","741.2472","751.2472","761.2472"
"Abuja","266","744.58636","754.58636","764.58636","774.58636"
"Abuja","267","756.7547","766.7547","776.7547","786.7547"
"Abuja","268","767.8207","777.8207","787.8207","797.8207"
"Abuja","269","777.8666","787.8666","797.8666","807.8666"
"Abuja","270","786.99585","796.99585","806.99585","816.99585"
"Abuja","271","795.2163","805.2163","815.2163","825.2163"
"Abuja","272","802.6475","812.6475","822.6475","832.6475"
"Abuja","273","809.3591","819.3591","829.3591","839.3591"
"Abuja","274","815.38367","825.38367","835.38367","845.38367"
"Abuja","275","820.785","830.785","840.785","850.785"
"Abuja","276","825.66925","835.66925","845.66925","855.66925"
"Abuja","277","830.07434","840.07434","850.07434","860.07434"
"Abuja","278","833.99664","843.99664","853.99664","863.99664"
"Abuja","279","837.4841","847.4841","857.4841","867.4841"
"Abuja","280","840.62415","850.62415","860.62415","870.62415"
"Abuja","281","843.4489","853.4489","863.4489","873.4489"
"Abuja","282","845.98425","855.98425","865.98425","875.98425"
"Abuja","283","848.2586","858.2586","868.2586","878.2586"
"Abuja","284","850.304","860.304","870.304","880.304"
"Abuja","285","852.1386","862.1386","872.1386","882.1386"
"Abuja","286","853.77576","863.77576","873.77576","883.77576"
"Abuja","287","855.22723","865.22723","875.22723","885.22723"
"Abuja","288","856.54156","866.54156","876.54156","886.54156"
"Abuja","289","857.70764","867.70764","877.70764","887.70764"
"Abuja","290","858.76117","868.76117","878.76117","888.76117"
"Abuja","291","859.7117","869.7117","879.7117","889.7117"
"Abuja","292","860.5734","870.5734","880.5734","890.5734"
"Abuja","293","861.3445","871.3445","881.3445","891.3445"
"Abuja","294","862.04126","872.04126","882.04126","892.04126"
"Abuja","295","862.66254","872.66254","882.66254","892.66254"
"Abuja","296","863.2298","873.2298","883.2298","893.2298"
"Abuja","297","863.7293","873.7293","883.7293","893.7293"
"Abuja","298","864.1833","874.1833","884.1833","894.1833"
"Abuja","299","864.5897","874.5897","884.5897","894.5897"
"Abuja","300","864.9557","874.9557","884.9557","894.9557"
"Abuja","301","865.2904","875.2904","885.2904","895.2904"
"Abuja","302","865.5976","875.5976","885.5976","895.5976"
"Abuja","303","865.85986","875.85986","885.85986","895.85986"
"Abuja","304","866.10187","876.10187","886.10187","896.10187"
"Abuja","305","866.3126","876.3126","886.3126","896.3126"
"Abuja","306","866.5158","876.5158","886.5158","896.5158"
"Abuja","307","866.6969","876.6969","886.6969","896.6969"
"Abuja","308","866.8563","876.8563","886.8563","896.8563"
"Abuja","309","867.0034","877.0034","887.0034","897.0034"
"Abuja","310","867.1401","877.1401","887.1401","897.1401"
"Abuja","311","867.2593","877.2593","887.2593","897.2593"
"Abuja","312","867.3755","877.3755","887.3755","897.3755"
"Abuja","313","867.4556","877.4556","887.4556","897.4556"
"Abuja","314","867.5059","877.5059","887.5059","897.5059"
"Abuja","315","867.54425","877.54425","887.54425","897.54425"
"Abuja","316","867.579","877.579","887.579","897.579"
"Abuja","317","867.6099","877.6099","887.6099","897.6099"
"Abuja","318","867.637","877.637","887.637","897.637"
"Abuja","319","867.6655","877.6655","887.6655","897.6655"
"Abuja","320","867.69226","877.69226","887.69226","897.69226"
"Abuja","321","867.7323","877.7323","887.7323","897.7323"
"Abuja","322","867.76483","877.76483","887.76483","897.76483"
"Abuja","323","867.7944","877.7944","887.7944","897.7944"
"Abuja","324","867.8231","877.8231","887.8231","897.8231"
"Abuja","325","867.84766","877.84766","887.84766","897.84766"
"Abuja","326","867.8669","877.8669","887.8669","897.8669"
"Abuja","327","867.87805","877.87805","887.87805","897.87805"
"Abuja","328","867.888","877.888","887.888","897.888"
"Abuja","329","867.89966","877.89966","887.89966","897.89966"
"Abuja","330","867.91095","877.91095","887.91095","897.91095"
"Abuja","331","867.92004","877.92004","887.92004","897.92004"
"Abuja","332","867.92944","877.92944","887.92944","897.92944"
"Abuja","333","867.9375","877.9375","887.9375","897.9375"
"Abuja","334","867.9429","877.9429","887.9429","897.9429"
"Abuja","335","867.94965","877.94965","887.94965","897.94965"
"Abuja","336","867.9568","877.9568","887.9568","897.9568"
"Abuja","337","867.9618","877.9618","887.9618","897.9618"
"Abuja","338","867.9671","877.9671","887.9671","897.9671"
"Abuja","339","867.9721","877.9721","887.9721","897.9721"
"Abuja","340","867.9772","877.9772","887.9772","897.9772"
"Abuja","341","867.983","877.983","887.983","897.983"
"Abuja","342","867.98737","877.98737","887.98737","897.98737"
"Abuja","343","867.99207","877.99207","887.99207","897.99207"
"Abuja","344","867.99567","877.99567","887.99567","897.99567"
"Abuja","345","867.9997","877.9997","887.9997","897.9997"
"Abuja","346","868.0042","878.0042","888.0042","898.0042"
"Abuja","347","868.0089","878.0089","888.0089","898.0089"
"Abuja","348","868.01324","878.01324","888.01324","898.01324"
"Abuja","349","868.0171","878.0171","888.0171","898.0171"
"Abuja","350","868.0215","878.0215","888.0215","898.0215"
"Abuja","351","868.0259","878.0259","888.0259","898.0259"
"Abuja","352","868.0301","878.0301","888.0301","898.0301"
"Abuja","353","868.03375","878.03375","888.03375","898.03375"
"Abuja","354","868.0376","878.0376","888.0376","898.0376"
"Abuja","355","868.04175","878.04175","888.04175","898.04175"
"Abuja","356","868.04486","878.04486","888.04486","898.04486"
"Abuja","357","868.0485","878.0485","888.0485","898.0485"
"Abuja","358","868.05225","878.05225","888.05225","898.05225"
"Abuja","359","868.0555","878.0555","888.0555","898.0555"
"Abuja","360","868.0588","878.0588","888.0588","898.0588"
"Abuja","361","868.0619","878.0619","888.0619","898.0619"
"Abuja","362","868.0642","878.0642","888.0642","898.0642"
"Abuja","363","868.0664","878.0664","888.0664","898.0664"
"Abuja","364","868.06976","878.06976","888.06976","898.06976"
"Abuja","365","868.07227","878.07227","888.07227","898.07227"
"Amsterdam","0","0.0","10.0","20.0","30.0"
"Amsterdam","1","0.0","10.0","20.0","30.0"
"Amsterdam","2","0.0","10.0","20.0","30.0"
"Amsterdam","3","0.0","10.0","20.0","30.0"
"Amsterdam","4","0.0","10.0","20.0","30.0"
"Amsterdam","5","0.0","10.0","20.0","30.0"
"Amsterdam","6","0.0","10.0","20.0","30.0"
"Amsterdam","7","0.0","10.0","20.0","30.0"
"Amsterdam","8","0.0","10.0","20.0","30.0"
