Country,Spreadsize,Colour,lat,lng
Egypt,790,red,26.820553,30.802498
China,12000,green,35.86166,104.195397
Hong Kong,160,green,22.3193039,114.1693611
India,160,orange,20.593684,78.96288
Russia,640,orange,61.52401,105.318756
South Korea,9900,green,35.907757,127.766922
Singapore,340,green,1.352083,103.819836
Japan,3400,orange,36.204824,138.252924
Indonesia,320,red,-0.789275,113.921327
Dubai,340,red,25.2048493,55.2707828
Iran,800000,orange,32.427908,53.688046
US,9600,red,37.09024,-95.712891
Australia,470,red,-25.274398,133.775136
France,26000,red,46.227638,2.213749
Italy,120000,red,41.87194,12.56738
Germany,30000,red,51.165691,10.451526
Spain,48000,red,40.46366700000001,-3.74922
Netherlands,5700,red,52.132633,5.291265999999999
Switzerland,15000,red,46.818188,8.227511999999999
United Kingdom,10000,red,55.378051,-3.435973
Czech Republic,400,red,49.81749199999999,15.472962
